
Episode 1318, Reward: 280.0, MovingAvg(100): 634.80, avgMovingReward: 448.1, Epsilon: 0.0500, Actor_Loss: 4.3176, Critic_Loss: 393.4507, Entropy: 2.0652

Episode 1319, Reward: 400.0, MovingAvg(100): 634.90, avgMovingReward: 443.3, Epsilon: 0.0500, Actor_Loss: -7.2685, Critic_Loss: 1876.8513, Entropy: 2.0690

Episode 1320, Reward: 1470.0, MovingAvg(100): 640.50, avgMovingReward: 545.9, Epsilon: 0.0500, Actor_Loss: -150.1395, Critic_Loss: 32033.9055, Entropy: 2.0398

Episode 1321, Reward: 380.0, MovingAvg(100): 638.00, avgMovingReward: 529.3, Epsilon: 0.0500, Actor_Loss: -15.3182, Critic_Loss: 1009.2987, Entropy: 2.0282

Episode 1322, Reward: 500.0, MovingAvg(100): 635.30, avgMovingReward: 526.4, Epsilon: 0.0500, Actor_Loss: 3.7417, Critic_Loss: 880.5608, Entropy: 2.0239

Episode 1323, Reward: 310.0, MovingAvg(100): 603.20, avgMovingReward: 504.8, Epsilon: 0.0500, Actor_Loss: 64.9162, Critic_Loss: 5757.4706, Entropy: 2.0218

Episode 1324, Reward: 320.0, MovingAvg(100): 601.60, avgMovingReward: 486.3, Epsilon: 0.0500, Actor_Loss: 6.2964, Critic_Loss: 336.8140, Entropy: 2.0180

Episode 1325, Reward: 800.0, MovingAvg(100): 591.10, avgMovingReward: 517.7, Epsilon: 0.0500, Actor_Loss: 32.2738, Critic_Loss: 2601.6503, Entropy: 2.0237

Episode 1326, Reward: 720.0, MovingAvg(100): 594.10, avgMovingReward: 537.9, Epsilon: 0.0500, Actor_Loss: -99.5132, Critic_Loss: 14184.1317, Entropy: 2.0351

Episode 1327, Reward: 860.0, MovingAvg(100): 600.70, avgMovingReward: 570.1, Epsilon: 0.0500, Actor_Loss: -83.9959, Critic_Loss: 9766.5495, Entropy: 2.0306

Episode 1328, Reward: 910.0, MovingAvg(100): 604.40, avgMovingReward: 604.1, Epsilon: 0.0500, Actor_Loss: 10.6103, Critic_Loss: 304.5032, Entropy: 2.0118

Episode 1329, Reward: 330.0, MovingAvg(100): 596.90, avgMovingReward: 576.7, Epsilon: 0.0500, Actor_Loss: 69.7490, Critic_Loss: 6143.5964, Entropy: 2.0156

Episode 1330, Reward: 1130.0, MovingAvg(100): 601.50, avgMovingReward: 632.0, Epsilon: 0.0500, Actor_Loss: -10.4625, Critic_Loss: 873.3194, Entropy: 2.0148

Episode 1331, Reward: 430.0, MovingAvg(100): 597.90, avgMovingReward: 611.8, Epsilon: 0.0500, Actor_Loss: -10.1949, Critic_Loss: 1517.4824, Entropy: 2.0058

Episode 1332, Reward: 1220.0, MovingAvg(100): 602.00, avgMovingReward: 672.6, Epsilon: 0.0500, Actor_Loss: 9.7853, Critic_Loss: 962.1028, Entropy: 1.9885

Episode 1333, Reward: 610.0, MovingAvg(100): 605.50, avgMovingReward: 666.4, Epsilon: 0.0500, Actor_Loss: 43.9487, Critic_Loss: 2695.5113, Entropy: 1.9992

Episode 1334, Reward: 740.0, MovingAvg(100): 608.40, avgMovingReward: 673.7, Epsilon: 0.0500, Actor_Loss: -25.6093, Critic_Loss: 1245.4526, Entropy: 2.0143

Episode 1335, Reward: 370.0, MovingAvg(100): 608.50, avgMovingReward: 643.4, Epsilon: 0.0500, Actor_Loss: -4.9806, Critic_Loss: 807.3696, Entropy: 2.0120

Episode 1336, Reward: 290.0, MovingAvg(100): 601.30, avgMovingReward: 608.0, Epsilon: 0.0500, Actor_Loss: 39.3627, Critic_Loss: 1961.3168, Entropy: 2.0077

Episode 1337, Reward: 880.0, MovingAvg(100): 606.90, avgMovingReward: 635.2, Epsilon: 0.0500, Actor_Loss: 31.6130, Critic_Loss: 11510.9303, Entropy: 2.0121

Episode 1338, Reward: 890.0, MovingAvg(100): 612.80, avgMovingReward: 660.7, Epsilon: 0.0500, Actor_Loss: 83.4526, Critic_Loss: 8543.0140, Entropy: 2.0068

Episode 1339, Reward: 310.0, MovingAvg(100): 609.10, avgMovingReward: 625.6, Epsilon: 0.0500, Actor_Loss: 19.5741, Critic_Loss: 1413.3742, Entropy: 2.0055

Episode 1340, Reward: 360.0, MovingAvg(100): 610.30, avgMovingReward: 599.1, Epsilon: 0.0500, Actor_Loss: 3.4125, Critic_Loss: 301.1040, Entropy: 2.0165

Episode 1341, Reward: 1000.0, MovingAvg(100): 616.90, avgMovingReward: 639.2, Epsilon: 0.0500, Actor_Loss: 52.1972, Critic_Loss: 5270.8585, Entropy: 2.0238

Episode 1342, Reward: 240.0, MovingAvg(100): 614.40, avgMovingReward: 599.2, Epsilon: 0.0500, Actor_Loss: 31.1786, Critic_Loss: 1082.2102, Entropy: 2.0222

Episode 1343, Reward: 240.0, MovingAvg(100): 612.30, avgMovingReward: 563.3, Epsilon: 0.0500, Actor_Loss: -5.3755, Critic_Loss: 1115.1788, Entropy: 2.0305

Episode 1344, Reward: 450.0, MovingAvg(100): 612.10, avgMovingReward: 552.0, Epsilon: 0.0500, Actor_Loss: 26.5864, Critic_Loss: 1298.3526, Entropy: 2.0331

