/opt/python/lib/python3.12/site-packages/torch/nn/modules/loss.py:610: UserWarning: Using a target size (torch.Size([128, 1])) that is different to the input size (torch.Size([128])). This will likely lead to incorrect results due to broadcasting. Please ensure they have the same size.
  return F.mse_loss(input, target, reduction=self.reduction)

Episode 0, Reward: 430.0, MovingAvg(1): 430.00, avgMovingReward: 430.0, Epsilon: 0.8000, Actor_Loss: -58.9212, Critic_Loss: 2989.9937, Entropy: 2.1890
Episode 89, Reward: 290.0, MovingAvg(90): 375.22, avgMovingReward: 427.3, Epsilon: 0.6547, Actor_Loss: -11.4408, Critic_Loss: 497.5707, Entropy: 1.7693

Episode 90, Reward: 190.0, MovingAvg(91): 373.19, avgMovingReward: 403.5, Epsilon: 0.6514, Actor_Loss: -10.4585, Critic_Loss: 365.4904, Entropy: 1.7635

Episode 91, Reward: 490.0, MovingAvg(92): 374.46, avgMovingReward: 412.2, Epsilon: 0.6481, Actor_Loss: 47.6931, Critic_Loss: 1338.0699, Entropy: 1.7577

Episode 92, Reward: 390.0, MovingAvg(93): 374.62, avgMovingReward: 410.0, Epsilon: 0.6449, Actor_Loss: -15.0295, Critic_Loss: 528.1186, Entropy: 1.8980

Episode 93, Reward: 450.0, MovingAvg(94): 375.43, avgMovingReward: 414.0, Epsilon: 0.6417, Actor_Loss: -46.3309, Critic_Loss: 1738.3725, Entropy: 1.9080

Episode 94, Reward: 1020.0, MovingAvg(95): 382.21, avgMovingReward: 474.6, Epsilon: 0.6385, Actor_Loss: 58.9647, Critic_Loss: 6777.3921, Entropy: 1.7760

Episode 95, Reward: 810.0, MovingAvg(96): 386.67, avgMovingReward: 508.1, Epsilon: 0.6353, Actor_Loss: 65.6286, Critic_Loss: 5536.5675, Entropy: 1.7871

Episode 96, Reward: 350.0, MovingAvg(97): 386.29, avgMovingReward: 492.3, Epsilon: 0.6321, Actor_Loss: 29.7252, Critic_Loss: 1206.2355, Entropy: 1.8613

Episode 97, Reward: 300.0, MovingAvg(98): 385.41, avgMovingReward: 473.1, Epsilon: 0.6289, Actor_Loss: -3.8296, Critic_Loss: 575.0909, Entropy: 1.8912

Episode 98, Reward: 330.0, MovingAvg(99): 384.85, avgMovingReward: 458.8, Epsilon: 0.6258, Actor_Loss: -20.2152, Critic_Loss: 455.5005, Entropy: 1.8614

Episode 99, Reward: 1130.0, MovingAvg(100): 392.30, avgMovingReward: 525.9, Epsilon: 0.6227, Actor_Loss: 66.5640, Critic_Loss: 2163.3977, Entropy: 1.6899

Episode 100, Reward: 370.0, MovingAvg(100): 391.70, avgMovingReward: 510.3, Epsilon: 0.6195, Actor_Loss: 7.5018, Critic_Loss: 612.3900, Entropy: 1.8329

Episode 101, Reward: 260.0, MovingAvg(100): 392.20, avgMovingReward: 485.3, Epsilon: 0.6164, Actor_Loss: 32.2081, Critic_Loss: 643.1075, Entropy: 1.8238

Episode 102, Reward: 270.0, MovingAvg(100): 392.30, avgMovingReward: 463.7, Epsilon: 0.6134, Actor_Loss: 34.1290, Critic_Loss: 706.9656, Entropy: 1.8875

Episode 103, Reward: 310.0, MovingAvg(100): 387.20, avgMovingReward: 448.4, Epsilon: 0.6103, Actor_Loss: -53.2091, Critic_Loss: 3449.6071, Entropy: 1.9723

Episode 104, Reward: 280.0, MovingAvg(100): 386.80, avgMovingReward: 431.5, Epsilon: 0.6072, Actor_Loss: -20.9608, Critic_Loss: 1903.8814, Entropy: 1.8970

Episode 105, Reward: 210.0, MovingAvg(100): 386.20, avgMovingReward: 409.4, Epsilon: 0.6042, Actor_Loss: 15.9430, Critic_Loss: 620.1287, Entropy: 1.8269

Episode 106, Reward: 880.0, MovingAvg(100): 392.40, avgMovingReward: 456.4, Epsilon: 0.6012, Actor_Loss: -52.7546, Critic_Loss: 10545.4852, Entropy: 1.8160

Episode 107, Reward: 280.0, MovingAvg(100): 392.40, avgMovingReward: 438.8, Epsilon: 0.5982, Actor_Loss: 27.1337, Critic_Loss: 2309.3637, Entropy: 1.7249

Episode 108, Reward: 280.0, MovingAvg(100): 392.70, avgMovingReward: 422.9, Epsilon: 0.5952, Actor_Loss: 38.5582, Critic_Loss: 1592.8074, Entropy: 1.7229

Episode 109, Reward: 350.0, MovingAvg(100): 393.60, avgMovingReward: 415.6, Epsilon: 0.5922, Actor_Loss: 27.9702, Critic_Loss: 826.2939, Entropy: 1.8429

Episode 110, Reward: 430.0, MovingAvg(100): 395.50, avgMovingReward: 417.1, Epsilon: 0.5892, Actor_Loss: -17.6127, Critic_Loss: 391.8856, Entropy: 1.8450

Episode 111, Reward: 300.0, MovingAvg(100): 396.00, avgMovingReward: 405.4, Epsilon: 0.5863, Actor_Loss: -4.7133, Critic_Loss: 539.5910, Entropy: 1.7547

Episode 112, Reward: 210.0, MovingAvg(100): 395.40, avgMovingReward: 385.8, Epsilon: 0.5834, Actor_Loss: 50.2971, Critic_Loss: 1652.8357, Entropy: 1.7604

Episode 113, Reward: 220.0, MovingAvg(100): 395.70, avgMovingReward: 369.2, Epsilon: 0.5805, Actor_Loss: -37.9125, Critic_Loss: 2591.2552, Entropy: 1.9173

Episode 114, Reward: 280.0, MovingAvg(100): 395.20, avgMovingReward: 360.3, Epsilon: 0.5776, Actor_Loss: -33.7705, Critic_Loss: 809.2438, Entropy: 1.9204

Episode 115, Reward: 270.0, MovingAvg(100): 394.80, avgMovingReward: 351.3, Epsilon: 0.5747, Actor_Loss: 11.3619, Critic_Loss: 242.0394, Entropy: 1.7391

Episode 116, Reward: 200.0, MovingAvg(100): 393.70, avgMovingReward: 336.2, Epsilon: 0.5718, Actor_Loss: 9.9777, Critic_Loss: 426.9377, Entropy: 1.8021

Episode 117, Reward: 430.0, MovingAvg(100): 395.40, avgMovingReward: 345.5, Epsilon: 0.5689, Actor_Loss: 11.1644, Critic_Loss: 699.3031, Entropy: 1.6102

Episode 118, Reward: 700.0, MovingAvg(100): 399.00, avgMovingReward: 381.0, Epsilon: 0.5661, Actor_Loss: 16.8994, Critic_Loss: 1889.2096, Entropy: 1.5617

Episode 119, Reward: 310.0, MovingAvg(100): 399.90, avgMovingReward: 373.9, Epsilon: 0.5633, Actor_Loss: 23.7076, Critic_Loss: 914.9706, Entropy: 1.6381

